case_id,statement_id,rule_id,family_id,school,canon,rule_type,verdict,learnable,record_present,domain,year
C-2026-015-乾-甲寅乙亥丙辰辛卯,S-015-9db12a,GP-BD-04,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,pending,false,true,,
C-2026-015-乾-甲寅乙亥丙辰辛卯,S-015-9db12a,GP-BD-05,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,pending,false,true,,
C-2026-015-乾-甲寅乙亥丙辰辛卯,S-015-9db12a,GP-BD-03,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,pending,false,true,,
C-2026-015-乾-甲寅乙亥丙辰辛卯,S-015-9db12a,GP-CH-09,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,pending,false,true,,
C-2026-015-乾-甲寅乙亥丙辰辛卯,S-015-9db12a,GP-BD-12,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,pending,false,true,,
C-2026-015-乾-甲寅乙亥丙辰辛卯,S-015-9db12a,GP-BD-09,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,pending,false,true,,
C-2026-015-乾-甲寅乙亥丙辰辛卯,S-015-9db12a,GP-BD-01,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,pending,false,true,,
C-2026-015-乾-甲寅乙亥丙辰辛卯,S-015-9db12a,GP-XL-MIX,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,pending,false,true,,
C-2026-015-乾-甲寅乙亥丙辰辛卯,S-015-9db12a,GP-HE-月德贵人,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,pending,false,true,,
C-2026-015-乾-甲寅乙亥丙辰辛卯,S-015-9db12a,GP-HE-天德贵人,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,pending,false,true,,
C-2026-015-乾-甲寅乙亥丙辰辛卯,S-015-9db12a,GP-HE-羊刃,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,pending,false,true,,
C-2026-015-乾-甲寅乙亥丙辰辛卯,S-015-9db12a,GP-HE-血刃,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,pending,false,true,,
C-2026-015-乾-甲寅乙亥丙辰辛卯,S-015-9db12a,GP-HE-童子煞,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,pending,false,true,,
C-2026-015-乾-甲寅乙亥丙辰辛卯,S-015-870d88,GP-BD-02,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,pending,false,true,,
C-2026-015-乾-甲寅乙亥丙辰辛卯,S-015-870d88,GP-CH-01,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,pending,false,true,,
C-2026-015-乾-甲寅乙亥丙辰辛卯,S-015-870d88,GP-CH-08-1,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,pending,false,true,,
C-2026-015-乾-甲寅乙亥丙辰辛卯,S-015-870d88,GP-BD-04,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,pending,false,true,,
C-2026-015-乾-甲寅乙亥丙辰辛卯,S-015-870d88,GP-BD-05,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,pending,false,true,,
C-2026-015-乾-甲寅乙亥丙辰辛卯,S-015-870d88,GP-BD-03,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,pending,false,true,,
C-2026-015-乾-甲寅乙亥丙辰辛卯,S-015-870d88,GP-CH-09,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,pending,false,true,,
C-2026-015-乾-甲寅乙亥丙辰辛卯,S-015-870d88,GP-BD-12,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,pending,false,true,,
C-2026-015-乾-甲寅乙亥丙辰辛卯,S-015-870d88,GP-BD-09,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,pending,false,true,,
C-2026-015-乾-甲寅乙亥丙辰辛卯,S-015-870d88,GP-BD-01,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,pending,false,true,,
C-2026-015-乾-甲寅乙亥丙辰辛卯,S-015-870d88,GP-XL-MIX,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,pending,false,true,,
C-2026-015-乾-甲寅乙亥丙辰辛卯,S-015-870d88,GP-WE-金舆,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,pending,false,true,,
C-2026-015-乾-甲寅乙亥丙辰辛卯,S-015-c6daf2,MR-LAYER1,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,pending,false,true,学业,1996
