row_number,case_id,rule_id,statement_id,feedback_verdict,family_ids,family_names,school,canon,rule_type,family_vote_cap,initial_family_weight,lane_weight,initial_canon_weight,source_school,source_family,source_rule_type,needs_mapping_repair,repair_reasons,case_fallback,fallback_reason
13,C-2026-001-乾-庚申戊寅壬子辛丑,UNMAPPED,UNMAPPED-C-2026-001-乾-庚申戊寅壬子辛丑-0083,pending,UNMAPPED,,UNMAPPED,UNMAPPED,UNMAPPED,,,,,UNMAPPED,UNMAPPED,UNMAPPED,true,missing_rule_id;rule_not_in_phase300_strategy;missing_family_id;missing_school_lane;missing_canon;missing_or_invalid_rule_type;input_needs_mapping_repair;input_fallback_reason_present,true,ModuleNotFoundError('No module named tools')
14,C-2026-001-乾-庚申戊寅壬子辛丑,UNMAPPED,UNMAPPED-C-2026-001-乾-庚申戊寅壬子辛丑-0084,n,UNMAPPED,,UNMAPPED,UNMAPPED,UNMAPPED,,,,,UNMAPPED,UNMAPPED,UNMAPPED,true,missing_rule_id;rule_not_in_phase300_strategy;missing_family_id;missing_school_lane;missing_canon;missing_or_invalid_rule_type;input_needs_mapping_repair;input_fallback_reason_present,true,ModuleNotFoundError('No module named tools')
15,C-2026-001-乾-庚申戊寅壬子辛丑,UNMAPPED,UNMAPPED-C-2026-001-乾-庚申戊寅壬子辛丑-0085,y,UNMAPPED,,UNMAPPED,UNMAPPED,UNMAPPED,,,,,UNMAPPED,UNMAPPED,UNMAPPED,true,missing_rule_id;rule_not_in_phase300_strategy;missing_family_id;missing_school_lane;missing_canon;missing_or_invalid_rule_type;input_needs_mapping_repair;input_fallback_reason_present,true,ModuleNotFoundError('No module named tools')
16,C-2026-001-乾-庚申戊寅壬子辛丑,UNMAPPED,UNMAPPED-C-2026-001-乾-庚申戊寅壬子辛丑-0087,y,UNMAPPED,,UNMAPPED,UNMAPPED,UNMAPPED,,,,,UNMAPPED,UNMAPPED,UNMAPPED,true,missing_rule_id;rule_not_in_phase300_strategy;missing_family_id;missing_school_lane;missing_canon;missing_or_invalid_rule_type;input_needs_mapping_repair;input_fallback_reason_present,true,ModuleNotFoundError('No module named tools')
17,C-2026-001-乾-庚申戊寅壬子辛丑,UNMAPPED,UNMAPPED-C-2026-001-乾-庚申戊寅壬子辛丑-0088,y,UNMAPPED,,UNMAPPED,UNMAPPED,UNMAPPED,,,,,UNMAPPED,UNMAPPED,UNMAPPED,true,missing_rule_id;rule_not_in_phase300_strategy;missing_family_id;missing_school_lane;missing_canon;missing_or_invalid_rule_type;input_needs_mapping_repair;input_fallback_reason_present,true,ModuleNotFoundError('No module named tools')
18,C-2026-001-乾-庚申戊寅壬子辛丑,UNMAPPED,UNMAPPED-C-2026-001-乾-庚申戊寅壬子辛丑-0089,y,UNMAPPED,,UNMAPPED,UNMAPPED,UNMAPPED,,,,,UNMAPPED,UNMAPPED,UNMAPPED,true,missing_rule_id;rule_not_in_phase300_strategy;missing_family_id;missing_school_lane;missing_canon;missing_or_invalid_rule_type;input_needs_mapping_repair;input_fallback_reason_present,true,ModuleNotFoundError('No module named tools')
19,C-2026-001-乾-庚申戊寅壬子辛丑,UNMAPPED,UNMAPPED-C-2026-001-乾-庚申戊寅壬子辛丑-0090,y,UNMAPPED,,UNMAPPED,UNMAPPED,UNMAPPED,,,,,UNMAPPED,UNMAPPED,UNMAPPED,true,missing_rule_id;rule_not_in_phase300_strategy;missing_family_id;missing_school_lane;missing_canon;missing_or_invalid_rule_type;input_needs_mapping_repair;input_fallback_reason_present,true,ModuleNotFoundError('No module named tools')
20,C-2026-001-乾-庚申戊寅壬子辛丑,UNMAPPED,UNMAPPED-C-2026-001-乾-庚申戊寅壬子辛丑-0096,y,UNMAPPED,,UNMAPPED,UNMAPPED,UNMAPPED,,,,,UNMAPPED,UNMAPPED,UNMAPPED,true,missing_rule_id;rule_not_in_phase300_strategy;missing_family_id;missing_school_lane;missing_canon;missing_or_invalid_rule_type;input_needs_mapping_repair;input_fallback_reason_present,true,ModuleNotFoundError('No module named tools')
21,C-2026-001-乾-庚申戊寅壬子辛丑,UNMAPPED,UNMAPPED-C-2026-001-乾-庚申戊寅壬子辛丑-0097,pending,UNMAPPED,,UNMAPPED,UNMAPPED,UNMAPPED,,,,,UNMAPPED,UNMAPPED,UNMAPPED,true,missing_rule_id;rule_not_in_phase300_strategy;missing_family_id;missing_school_lane;missing_canon;missing_or_invalid_rule_type;input_needs_mapping_repair;input_fallback_reason_present,true,ModuleNotFoundError('No module named tools')
22,C-2026-001-乾-庚申戊寅壬子辛丑,UNMAPPED,UNMAPPED-C-2026-001-乾-庚申戊寅壬子辛丑-0098,n,UNMAPPED,,UNMAPPED,UNMAPPED,UNMAPPED,,,,,UNMAPPED,UNMAPPED,UNMAPPED,true,missing_rule_id;rule_not_in_phase300_strategy;missing_family_id;missing_school_lane;missing_canon;missing_or_invalid_rule_type;input_needs_mapping_repair;input_fallback_reason_present,true,ModuleNotFoundError('No module named tools')
